GameType,Season,Team,G,Date,Home,Opp,W.L,Tm.Pts,Opp.Pts,Tm.FGM,Tm.FGA,Tm.FG_Perc,Tm.3PM,Tm.3PA,Tm.3P_Perc,Tm.FTM,Tm.FTA,Tm.FT_Perc,Tm.ORB,Tm.TRB,Tm.AST,Tm.STL,Tm.BLK,Tm.TOV,Tm.PF,Home.Attendance,Referee1,Referee2,Referee3,Referee4
RegularSeason,2013,ATL,12,11/24/12,1,LAC,W,104,93,38,75,0.507,7,17,0.412,21,26,0.808,8,39,26,5,2,18,18,16024,Pat Fraher,Josh Tiven,Zach Zarba,NA
RegularSeason,2013,ATL,13,11/28/12,1,CHA,W,94,91,36,90,0.4,12,32,0.375,10,15,0.667,15,44,28,9,9,9,18,10162,Bennie Adams,Nick Buchert,Mike Callahan,NA
RegularSeason,2013,ATL,14,11/30/12,1,CLE,L,111,113,38,78,0.487,12,20,0.6,23,32,0.719,10,28,25,12,5,12,18,13094,Mark Ayotte,Curtis Blair,Scott Foster,NA
RegularSeason,2013,ATL,15,12/5/12,1,DEN,W,108,104,42,95,0.442,8,22,0.364,16,19,0.842,19,47,24,13,5,14,19,14101,Kane Fitzgerald,Kevin Scott,Derrick Stafford,NA
RegularSeason,2013,ATL,16,12/7/12,1,WAS,W,104,95,41,85,0.482,10,26,0.385,12,19,0.632,15,47,23,7,1,14,19,13067,Mark Lindsay,J.T. Orr,Bennett Salvatore,NA
RegularSeason,2013,ATL,17,12/8/12,0,MEM,W,93,83,34,77,0.442,7,17,0.412,18,25,0.72,14,44,20,10,3,14,16,17612,Eric Dalen,Scott Foster,Scott Wall,NA
RegularSeason,2013,ATL,18,12/10/12,0,MIA,L,92,101,32,75,0.427,9,28,0.321,19,20,0.95,8,32,16,8,1,14,16,19600,Karl Lane,Eric Lewis,Ed Malloy,NA
RegularSeason,2013,ATL,19,12/12/12,0,ORL,W,86,80,35,80,0.438,6,22,0.273,10,16,0.625,8,43,16,11,6,14,11,16992,Brian Forte,Jason Phillips,Haywoode Workman,NA
RegularSeason,2013,ATL,20,12/13/12,1,CHA,W,113,90,43,75,0.573,14,29,0.483,13,23,0.565,7,41,28,8,3,13,14,13090,Michael Smith,Josh Tiven,Gary Zielinski,NA
RegularSeason,2013,ATL,21,12/15/12,1,GSW,L,93,115,31,84,0.369,5,26,0.192,26,36,0.722,10,45,21,6,3,11,15,15145,Mark Ayotte,James Capers,Zach Zarba,NA
RegularSeason,2013,ATL,22,12/18/12,0,WAS,W,100,95,34,78,0.436,9,24,0.375,23,34,0.676,9,49,20,10,9,15,20,15123,Scott Bolnick,Joe Crawford,John Goble,NA
RegularSeason,2013,ATL,23,12/19/12,1,OKC,L,92,100,36,94,0.383,9,24,0.375,11,17,0.647,14,44,21,11,6,11,19,16284,Bennie Adams,Tom Washington,James Williams,NA
RegularSeason,2013,ATL,24,12/21/12,0,PHI,L,80,99,31,79,0.392,9,25,0.36,9,12,0.75,13,37,20,7,3,17,15,18061,Dick Bavetta,Mike Callahan,J.T. Orr,NA
RegularSeason,2013,ATL,25,12/22/12,1,CHI,W,92,75,38,77,0.494,7,19,0.368,9,10,0.9,12,45,24,7,4,16,9,17782,Derrick Collins,Eric Dalen,Ed Malloy,NA
RegularSeason,2013,ATL,26,12/26/12,1,DET,W,126,119,46,98,0.469,11,33,0.333,23,31,0.742,8,47,35,11,6,10,18,15182,Kevin Cutler,John Goble,Jason Phillips,NA
RegularSeason,2013,ATL,27,12/28/12,0,CLE,W,102,94,38,78,0.487,13,24,0.542,13,16,0.813,8,43,27,8,11,14,15,19443,Curtis Blair,Derrick Collins,Bill Kennedy,NA
RegularSeason,2013,ATL,28,12/29/12,1,IND,W,109,100,44,80,0.55,10,20,0.5,11,14,0.786,10,36,26,8,2,16,23,16558,Brian Forte,Scott Foster,Violet Palmer,NA
RegularSeason,2013,ATL,29,12/31/12,0,HOU,L,104,123,43,90,0.478,12,23,0.522,6,7,0.857,4,36,24,6,6,14,16,18160,Ron Garretson,Eric Lewis,Tre Maddox,NA
RegularSeason,2013,ATL,30,1/1/13,0,NOH,W,95,86,41,83,0.494,9,22,0.409,4,8,0.5,9,39,30,7,7,5,11,12712,Mark Ayotte,Dan Crawford,Courtney Kirkland,NA
RegularSeason,2013,ATL,31,1/4/13,0,DET,L,84,85,31,75,0.413,10,29,0.345,12,20,0.6,6,38,26,7,4,17,20,14832,Kevin Fehr,Bennett Salvatore,Gary Zielinski,NA
RegularSeason,2013,ATL,32,1/5/13,1,BOS,L,81,89,28,68,0.412,10,29,0.345,15,19,0.789,8,36,18,8,4,18,19,19159,Rodney Mott,Eli Roe,Scott Wall,NA
RegularSeason,2013,ATL,33,1/8/13,0,MIN,L,103,108,38,77,0.494,10,22,0.455,17,21,0.81,10,44,21,5,6,15,23,15988,David Jones,Courtney Kirkland,J.T. Orr,NA
RegularSeason,2013,ATL,34,1/9/13,0,CLE,L,83,99,37,84,0.44,7,22,0.318,2,5,0.4,11,46,19,4,7,13,17,13149,Tony Brown,James Capers,Scott Twardoski,NA
RegularSeason,2013,ATL,35,1/11/13,1,UTA,W,103,95,40,72,0.556,9,19,0.474,14,23,0.609,4,33,24,10,5,13,18,12064,Kane Fitzgerald,Derek Richardson,Zach Zarba,NA
RegularSeason,2013,ATL,36,1/12/13,0,WAS,L,83,93,30,78,0.385,7,24,0.292,16,25,0.64,6,38,23,8,4,16,20,15331,John Goble,Kevin Scott,Tom Washington,NA
RegularSeason,2013,ATL,37,1/14/13,0,CHI,L,58,97,24,82,0.293,2,14,0.143,8,10,0.8,11,39,15,5,6,14,24,21430,Steve Anderson,Ken Mauer,Rodney Mott,NA
RegularSeason,2013,ATL,38,1/16/13,1,BRK,W,109,95,45,78,0.577,8,21,0.381,11,17,0.647,16,41,33,8,2,16,18,15029,Bennie Adams,Ron Garretson,Karl Lane,NA
RegularSeason,2013,ATL,39,1/18/13,0,BRK,L,89,94,35,80,0.438,9,21,0.429,10,14,0.714,5,35,22,6,3,15,26,17732,Matt Boland,Derrick Collins,Scott Foster,NA
RegularSeason,2013,ATL,40,1/19/13,1,SAS,L,93,98,35,85,0.412,8,21,0.381,15,22,0.682,13,50,20,2,2,15,14,18255,Jason Phillips,Olandis Poole,Leon Wood,NA
RegularSeason,2013,ATL,41,1/21/13,1,MIN,W,104,96,41,71,0.577,10,16,0.625,12,21,0.571,7,32,32,11,5,22,23,13808,Kevin Cutler,Leroy Richardson,Michael Smith,NA
RegularSeason,2013,ATL,42,1/23/13,0,CHA,W,104,92,43,87,0.494,12,25,0.48,6,12,0.5,13,45,31,7,6,16,22,12534,Tony Brothers,Violet Palmer,Scott Twardoski,NA
